-----------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-----------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     321.440us         0.04%     321.440us       6.182us           0 b           0 b           0 b           0 b            52  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     637.760us         0.09%     637.760us      24.529us           0 b           0 b           0 b           0 b            26  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     236.960us         0.03%     236.960us       4.557us           0 b           0 b           0 b           0 b            52  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     131.200us         0.02%     131.200us       5.046us           0 b           0 b           0 b           0 b            26  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     242.400us         0.03%     242.400us       4.662us           0 b           0 b           0 b           0 b            52  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      57.760us         0.01%      57.760us       4.443us           0 b           0 b           0 b           0 b            13  
void at::native::elementwise_kernel<512, 1, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     186.560us         0.02%     186.560us       7.175us           0 b           0 b           0 b           0 b            26  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     285.120us         0.04%     285.120us      10.966us           0 b           0 b           0 b           0 b            26  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     214.720us         0.03%     214.720us       8.589us           0 b           0 b           0 b           0 b            25  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     149.281us         0.02%     149.281us       5.971us           0 b           0 b           0 b           0 b            25  
