-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      52.514us         0.01%      52.514us       1.694us           0 b           0 b           0 b           0 b            31  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     224.831us         0.03%     224.831us       7.253us           0 b           0 b           0 b           0 b            31  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      35.104us         0.00%      35.104us       1.132us           0 b           0 b           0 b           0 b            31  
void at_cuda_detail::cub::DeviceReduceSingleTileKern...         0.00%       0.000us         0.00%       0.000us       0.000us      68.636us         0.01%      68.636us       1.183us           0 b           0 b           0 b           0 b            58  
void at_cuda_detail::cub::DeviceCompactInitKernel<at...         0.00%       0.000us         0.00%       0.000us       0.000us      46.109us         0.01%      46.109us       0.795us           0 b           0 b           0 b           0 b            58  
void at_cuda_detail::cub::DeviceSelectSweepKernel<at...         0.00%       0.000us         0.00%       0.000us       0.000us      92.961us         0.01%      92.961us       1.603us           0 b           0 b           0 b           0 b            58  
void at::native::(anonymous namespace)::write_indice...         0.00%       0.000us         0.00%       0.000us       0.000us      79.684us         0.01%      79.684us       2.570us           0 b           0 b           0 b           0 b            31  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     139.106us         0.02%     139.106us       4.487us           0 b           0 b           0 b           0 b            31  
void (anonymous namespace)::softmax_warp_forward<c10...         0.00%       0.000us         0.00%       0.000us       0.000us     153.633us         0.02%     153.633us       2.401us           0 b           0 b           0 b           0 b            64  
void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s...         0.00%       0.000us         0.00%       0.000us       0.000us     138.946us         0.02%     138.946us       4.342us           0 b           0 b           0 b           0 b            32  
ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us     103.546ms        12.79%     103.546ms     104.381us           0 b           0 b           0 b           0 b           992  
void cublasLt::splitKreduce_kernel<32, 16, int, __ha...         0.00%       0.000us         0.00%       0.000us       0.000us       2.588ms         0.32%       2.588ms       2.609us           0 b           0 b           0 b           0 b           992  
ampere_fp16_s1688gemm_fp16_128x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      58.297ms         7.20%      58.297ms     313.422us           0 b           0 b           0 b           0 b           186  
ampere_fp16_s16816gemm_fp16_64x64_ldg8_relu_f2f_stag...         0.00%       0.000us         0.00%       0.000us       0.000us       6.450ms         0.80%       6.450ms      41.611us           0 b           0 b           0 b           0 b           155  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     746.212us         0.09%     746.212us      24.071us           0 b           0 b           0 b           0 b            31  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us     544.547us         0.07%     544.547us      17.566us           0 b           0 b           0 b           0 b            31  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us      62.368us         0.01%      62.368us       2.012us           0 b           0 b           0 b           0 b            31  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     191.809us         0.02%     191.809us       6.187us           0 b           0 b           0 b           0 b            31  
