-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      72.637ms         2.76%      72.637ms      22.928us           0 b           0 b           0 b           0 b          3168  
Cijk_Alik_Bljk_HHS_BH_MT64x16x32_MI16x16x16x1_SE_1LD...         0.00%       0.000us         0.00%       0.000us       0.000us      46.035ms         1.75%      46.035ms     130.782us           0 b           0 b           0 b           0 b           352  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      29.718ms         1.13%      29.718ms      28.142us           0 b           0 b           0 b           0 b          1056  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us     156.413ms         5.95%     156.413ms     148.119us           0 b           0 b           0 b           0 b          1056  
Cijk_Ailk_Bljk_HHS_BH_MT32x32x64_MI16x16x16x1_SE_1LD...         0.00%       0.000us         0.00%       0.000us       0.000us      17.476ms         0.66%      17.476ms     546.130us           0 b           0 b           0 b           0 b            32  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      17.440ms         0.66%      17.440ms       5.283us           0 b           0 b           0 b           0 b          3301  
Cijk_Alik_Bljk_HHS_BH_MT160x256x64_MI32x32x8x1_SN_1L...         0.00%       0.000us         0.00%       0.000us       0.000us     564.407ms        21.45%     564.407ms     267.238us           0 b           0 b           0 b           0 b          2112  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       7.553ms         0.29%       7.553ms       6.186us           0 b           0 b           0 b           0 b          1221  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       7.173ms         0.27%       7.173ms       6.593us           0 b           0 b           0 b           0 b          1088  
Cijk_Alik_Bljk_HHS_BH_MT128x96x64_MI32x32x8x1_SE_1LD...         0.00%       0.000us         0.00%       0.000us       0.000us     212.649ms         8.08%     212.649ms     201.373us           0 b           0 b           0 b           0 b          1056  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       2.381ms         0.09%       2.381ms      72.150us           0 b           0 b           0 b           0 b            33  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     164.640us         0.01%     164.640us       4.704us           0 b           0 b           0 b           0 b            35  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       4.960us         0.00%       4.960us       4.960us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.440us         0.00%       9.440us       4.720us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     111.200us         0.00%     111.200us       3.271us           0 b           0 b           0 b           0 b            34  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      11.840us         0.00%      11.840us       5.920us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.760us         0.00%       5.760us       5.760us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.920us         0.00%       5.920us       5.920us           0 b           0 b           0 b           0 b             1  
void rocprim::detail::block_reduce_kernel<true, rocp...         0.00%       0.000us         0.00%       0.000us       0.000us     131.201us         0.00%     131.201us       5.704us           0 b           0 b           0 b           0 b            23  
                                         hipMemsetAsync         0.02%     555.785us         0.02%     555.785us       4.670us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           119  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     627.040us         0.02%     627.040us       5.269us           0 b           0 b           0 b           0 b           119  
void rocprim::detail::init_lookback_scan_state_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     247.040us         0.01%     247.040us       4.492us           0 b           0 b           0 b           0 b            55  
void rocprim::detail::partition_kernel<(rocprim::det...         0.00%       0.000us         0.00%       0.000us       0.000us     578.080us         0.02%     578.080us      10.511us           0 b           0 b           0 b           0 b            55  
void rocprim::detail::transform_kernel<rocprim::deta...         0.00%       0.000us         0.00%       0.000us       0.000us     243.040us         0.01%     243.040us       4.419us           0 b           0 b           0 b           0 b            55  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      10.720us         0.00%      10.720us      10.720us           0 b           0 b           0 b           0 b             1  
void at::native::elementwise_kernel<512, 1, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       5.120us         0.00%       5.120us       5.120us           0 b           0 b           0 b           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      11.520us         0.00%      11.520us      11.520us           0 b           0 b           0 b           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      11.680us         0.00%      11.680us      11.680us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.960us         0.00%       4.960us       4.960us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.240us         0.00%       6.240us       6.240us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      18.400us         0.00%      18.400us       6.133us           0 b           0 b           0 b           0 b             3  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.318ms         0.05%       1.318ms      24.403us           0 b           0 b           0 b           0 b            54  
void at::native::mbtopk::fill<unsigned int, unsigned...         0.00%       0.000us         0.00%       0.000us       0.000us     141.600us         0.01%     141.600us       4.425us           0 b           0 b           0 b           0 b            32  
void at::native::mbtopk::radixFindKthValues<c10::Hal...         0.00%       0.000us         0.00%       0.000us       0.000us     755.202us         0.03%     755.202us      11.800us           0 b           0 b           0 b           0 b            64  
                      hipOccupancyMaxPotentialBlockSize         0.95%      22.578ms         0.95%      22.578ms     705.556us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            32  
void at::native::sbtopk::gatherTopK<c10::Half, unsig...         0.00%       0.000us         0.00%       0.000us       0.000us       2.029ms         0.08%       2.029ms      63.400us           0 b           0 b           0 b           0 b            32  
void at::native::bitonicSortKVInPlace<2, -1, 16, 16,...         0.00%       0.000us         0.00%       0.000us       0.000us     545.120us         0.02%     545.120us      17.035us           0 b           0 b           0 b           0 b            32  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     282.400us         0.01%     282.400us       4.412us           0 b           0 b           0 b           0 b            64  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     508.800us         0.02%     508.800us       7.950us           0 b           0 b           0 b           0 b            64  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     137.280us         0.01%     137.280us       4.290us           0 b           0 b           0 b           0 b            32  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     568.640us         0.02%     568.640us      17.770us           0 b           0 b           0 b           0 b            32  
